,unique_id,current_price,predicted_price,pricing,Mouth,Background,Fur,Clothes,Eyes,Hat,Earring,image_url,contract_address,collection_name,timestamp
0,BoredApeYachtClub2777,299.0,244.46300000000002,overpriced,Phoneme Vuh,Purple,Pink,Sleeveless Logo T,Bored,Safari,,https://lh3.googleusercontent.com/7f23hMIG29DYzVAANycpMkZoBvOrk_1TOCxRHmtbl2SpDfO-BzGHgHBDJQq6ZuDTPpHHbf8o2Xs_MVzVn5JuNow6ie7NtbMnNMXu,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:14:11.608961
1,BoredApeYachtClub2787,230.0,128.46500000000003,overpriced,Dumbfounded,Aquamarine,Golden Brown,Rainbow Suspenders,Zombie,Halo,,https://lh3.googleusercontent.com/hTov6PB3AWug6M-EUCMxU0yui_pwTNPNGyLcy4KWbx9V-woFOo-jPGtQgGLjH6NIcCw0cFthQpmZ-7mpqFRR5GtqL4-YJ_wI2OTOyw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:14:27.474726
2,BoredApeYachtClub2795,150.0,133.09250000000003,overpriced,Bored,Aquamarine,Gray,,Sleepy,Party Hat 2,Silver Hoop,https://lh3.googleusercontent.com/2RY216lr2caNV1AQtLaj4bWRkzEj8ieoV23pIiUqy1NxRbPHSy1QCGSTUOc3wPy08DAsUhnrGezj34c8R_kluM0584yghhJaQ_Qg,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:14:40.280435
3,BoredApeYachtClub2813,111.0,108.72399999999998,overpriced,Bored Unshaven,Aquamarine,Noise,Biker Vest,Crazy,Horns,,https://lh3.googleusercontent.com/XBKcsbhx0ftFP19gk6YYoSNXTnW8KErkjbiTPrAkaLQrn0gHyqfKkGGawN3Ztav-f8d3ebpovysyXXKgTZCautDGUstoprq4XNxOHA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:15:09.036102
4,BoredApeYachtClub2825,138.0,85.14599999999999,overpriced,Bored Cigarette,Gray,Dark Brown,,Bored,S&m Hat,Silver Stud,https://lh3.googleusercontent.com/hzALbQ17uIv3cf0EIOdGrNrsUvoks1HfQIjZvgiXfU9MUF2lN1hWE33GTipRF6nqz5tAFtAys1T9OIX8IUt9Lf_yz0R_stz6vQ_5nWo,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:15:28.235656
5,BoredApeYachtClub2828,100.0,114.0165,underpriced,Phoneme  ooo,Aquamarine,Cream,,Closed,Short Mohawk,,https://lh3.googleusercontent.com/bqyyIhgOOtpMKsIPkY6epoqUVm58JNIh4OnTzV3L_6xRKmuN3HaBOGEY9RcfvOkcjjPuYaHGFEP_3xSeGvKc3oWNLHRa5Qtpgvz8xg,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:15:33.002399
6,BoredApeYachtClub2850,275.0,186.39133499999997,overpriced,Bored Unshaven,New Punk Blue,Cheetah,Hawaiian,Bloodshot,Fisherman's Hat,Silver Stud,https://lh3.googleusercontent.com/kuvwhJ20KUc981f8GSEfWWI5YjC2SBqK_NI10pT2G6o9s1XX4FUeb5oZ-BEA97NM8XDI36lXQvw7VcXRKhEV8ECs4NqYmoDFEaSG,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:16:07.602447
7,BoredApeYachtClub2858,100.0,94.969,overpriced,Grin,Yellow,Tan,Tuxedo Tee,Crazy,Short Mohawk,,https://lh3.googleusercontent.com/lqz0Lg-du5qDz5lkYhEB4PO5YUOT-16dXZHk41O77BOO6JbEsgc5kxhAoUHwF8fbqzFb1iR-SGVglSlcuS6Bz_wczCUACcD6cxdZ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:16:20.037644
8,BoredApeYachtClub2867,200.0,92.10499999999998,overpriced,Grin,Blue,Dark Brown,,Heart,,Silver Stud,https://lh3.googleusercontent.com/w67fJhwW-J_1nW75QgxH4OOPO_JLiTvFA-GHa2VBEFXjLxMEKwcBPS98SijJo29yvbqK_sE3UG_gNOQFUqqAbP65z7rc-5sUo8xTZQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:16:34.216397
9,BoredApeYachtClub2869,123.45,167.25719499999997,underpriced,Bored,New Punk Blue,Dark Brown,Smoking Jacket,Robot,Beanie,,https://lh3.googleusercontent.com/BDGgXhGEWmwULx4NCF5SlHYgwVDCMJkFcCbFMJ_9TxaP4RRbT4ozwJrPEJxDJwU2GbTR2L2uV4_d63QNjDV58-G_6fl-uO6SoYgDiA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 00:16:37.365277
