token_id,collection_name,current_price,predicted_price,pricing,Mouth,Background,Fur,Clothes,Eyes,Hat,Earring,image_url,contract_address,timestamp
2777,BoredApeYachtClub,299.0,202.4705,overpriced,Phoneme Vuh,Purple,Pink,Sleeveless Logo T,Bored,Safari,,https://lh3.googleusercontent.com/7f23hMIG29DYzVAANycpMkZoBvOrk_1TOCxRHmtbl2SpDfO-BzGHgHBDJQq6ZuDTPpHHbf8o2Xs_MVzVn5JuNow6ie7NtbMnNMXu,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:14:11.608961
2787,BoredApeYachtClub,230.0,88.34400000000001,overpriced,Dumbfounded,Aquamarine,Golden Brown,Rainbow Suspenders,Zombie,Halo,,https://lh3.googleusercontent.com/hTov6PB3AWug6M-EUCMxU0yui_pwTNPNGyLcy4KWbx9V-woFOo-jPGtQgGLjH6NIcCw0cFthQpmZ-7mpqFRR5GtqL4-YJ_wI2OTOyw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:14:27.474726
2795,BoredApeYachtClub,150.0,136.1125,overpriced,Bored,Aquamarine,Gray,,Sleepy,Party Hat 2,Silver Hoop,https://lh3.googleusercontent.com/2RY216lr2caNV1AQtLaj4bWRkzEj8ieoV23pIiUqy1NxRbPHSy1QCGSTUOc3wPy08DAsUhnrGezj34c8R_kluM0584yghhJaQ_Qg,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:14:40.280435
2813,BoredApeYachtClub,111.0,101.76929999999999,overpriced,Bored Unshaven,Aquamarine,Noise,Biker Vest,Crazy,Horns,,https://lh3.googleusercontent.com/XBKcsbhx0ftFP19gk6YYoSNXTnW8KErkjbiTPrAkaLQrn0gHyqfKkGGawN3Ztav-f8d3ebpovysyXXKgTZCautDGUstoprq4XNxOHA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:15:09.036102
2825,BoredApeYachtClub,138.0,125.02399999999997,overpriced,Bored Cigarette,Gray,Dark Brown,,Bored,S&m Hat,Silver Stud,https://lh3.googleusercontent.com/hzALbQ17uIv3cf0EIOdGrNrsUvoks1HfQIjZvgiXfU9MUF2lN1hWE33GTipRF6nqz5tAFtAys1T9OIX8IUt9Lf_yz0R_stz6vQ_5nWo,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:15:28.235656
2828,BoredApeYachtClub,100.0,88.59299999999999,overpriced,Phoneme  ooo,Aquamarine,Cream,,Closed,Short Mohawk,,https://lh3.googleusercontent.com/bqyyIhgOOtpMKsIPkY6epoqUVm58JNIh4OnTzV3L_6xRKmuN3HaBOGEY9RcfvOkcjjPuYaHGFEP_3xSeGvKc3oWNLHRa5Qtpgvz8xg,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:15:33.002399
2850,BoredApeYachtClub,275.0,179.7315,overpriced,Bored Unshaven,New Punk Blue,Cheetah,Hawaiian,Bloodshot,Fisherman's Hat,Silver Stud,https://lh3.googleusercontent.com/kuvwhJ20KUc981f8GSEfWWI5YjC2SBqK_NI10pT2G6o9s1XX4FUeb5oZ-BEA97NM8XDI36lXQvw7VcXRKhEV8ECs4NqYmoDFEaSG,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:16:07.602447
2858,BoredApeYachtClub,100.0,93.43649999999998,overpriced,Grin,Yellow,Tan,Tuxedo Tee,Crazy,Short Mohawk,,https://lh3.googleusercontent.com/lqz0Lg-du5qDz5lkYhEB4PO5YUOT-16dXZHk41O77BOO6JbEsgc5kxhAoUHwF8fbqzFb1iR-SGVglSlcuS6Bz_wczCUACcD6cxdZ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:16:20.037644
2867,BoredApeYachtClub,200.0,177.585,overpriced,Grin,Blue,Dark Brown,,Heart,,Silver Stud,https://lh3.googleusercontent.com/w67fJhwW-J_1nW75QgxH4OOPO_JLiTvFA-GHa2VBEFXjLxMEKwcBPS98SijJo29yvbqK_sE3UG_gNOQFUqqAbP65z7rc-5sUo8xTZQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:16:34.216397
2869,BoredApeYachtClub,123.45,118.6135,overpriced,Bored,New Punk Blue,Dark Brown,Smoking Jacket,Robot,Beanie,,https://lh3.googleusercontent.com/BDGgXhGEWmwULx4NCF5SlHYgwVDCMJkFcCbFMJ_9TxaP4RRbT4ozwJrPEJxDJwU2GbTR2L2uV4_d63QNjDV58-G_6fl-uO6SoYgDiA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:16:37.365277
2870,BoredApeYachtClub,101.0,176.59449999999998,underpriced,Phoneme Oh,New Punk Blue,Black,Hip Hop,Sad,Army Hat,,https://lh3.googleusercontent.com/npuCC-E_jTRs0tZV02tcSxrQxfOBdW394w7Da4KNxi4ryhrbsdc6MYHFwLDdazq97M3TLYBDMHzrhQzwiIeOFMy0ruKdmCcX7H9j,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:16:39.017623
2873,BoredApeYachtClub,95.0,92.693,overpriced,Bored Unshaven,Gray,Golden Brown,Space Suit,Bored,,,https://lh3.googleusercontent.com/BsQ0nVbDTXvZ05cLQeP52hK9d6jG7mS2Vphj9V__RDPQ6rDpMkjh0jFgG8vlg3Y4sZIJk1BLWyy2uFWDcrR-k_WJCMqRLCUoQdoe,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:16:43.428819
2874,BoredApeYachtClub,100.0,115.61749999999999,underpriced,Bored,Purple,Dark Brown,Guayabera,Angry,Sushi Chef Headband,Silver Hoop,https://lh3.googleusercontent.com/wC7F93TCAh9_qtvuK4Ts7h2KVJxwmYuy0U182yfI2NR_XCTckjHhZYFnju6leaPWbNNW4nFs4e5s7kv4HePntxQ_mAua4ycktxdtjA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 00:16:44.971687
2894,BoredApeYachtClub,110.0,93.37349999999999,overpriced,Bored,New Punk Blue,Brown,Vietnam Jacket,Zombie,,,https://lh3.googleusercontent.com/ebdXat7VEucxYHPKdlptayjHlYnCi3rgoxV4Fk8lX6wai-xwTKreQ45AZiGGL76RDjYcBH_T3No23hl8bkVjBJ2kEdhZChLsiCB4,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:32:21.132443
2896,BoredApeYachtClub,249.0,110.5375,overpriced,Rage,Blue,Pink,Vietnam Jacket,Wide Eyed,King's Crown,,https://lh3.googleusercontent.com/r-IHI74g69E1IDWVG8273J1QrQI40R-G3xA__-E9T2LEpA3Ve77_2_RVBNxGROedUAMzPrSSSLymDQsAVvMaelX1PZAm5pWHgYtW,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:32:24.381452
2897,BoredApeYachtClub,350.0,95.0355,overpriced,Grin Gold Grill,Purple,Gray,,Closed,,,https://lh3.googleusercontent.com/-gWZ0Uf-cWD6ja62enAcLHtIoErSgrp-_LQzE2degcLk8OZetP4kcsvJi1dephbHzzSFiLbkCWmBu8Rd2TuuUR6wbFEBzg2XrI4JLQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:32:26.076301
2903,BoredApeYachtClub,125.0,103.93049999999998,overpriced,Grin,Yellow,Zombie,Black Holes T,Wide Eyed,Party Hat 1,,https://lh3.googleusercontent.com/tKtEr9H7DoEDJwc5ioPFFJVBZGehlueWJjXIn9dDc6t6dGMtaxEqNeDt6zdh6EH1sNiQrV5B1zgb6m8Nxkxrjd1y5-t7JkbM9NGrVA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:32:35.434809
2905,BoredApeYachtClub,78.5,76.10249999999999,overpriced,Bored Cigarette,Army Green,Brown,Service,Eyepatch,,,https://lh3.googleusercontent.com/yUXIwbxTtXm0ic_aOLxGGPk-MBU-5iDLoUYBiJtYvqU6h8lfpHWWbV79KUZujoPNoLC42irVEcgKqrVz0iGRMC_tKpk1Z34s-YuK,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:32:39.154476
2907,BoredApeYachtClub,150.0,119.43599999999999,overpriced,Bored Unshaven,Orange,Dark Brown,Rainbow Suspenders,Bored,S&m Hat,,https://lh3.googleusercontent.com/xM31_glW7h60NjBQjcZZ18OlLDW3aK-fJhyLXcTqNOuODRpM46mNbIMiUMr1ta3hAYEqsJuOgIZyq4P9CKEfbedJHm0B-NmI4Gn1BQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:32:42.326916
2917,BoredApeYachtClub,175.0,148.4965,overpriced,Bored Unshaven Pipe,Army Green,Black,Sailor Shirt,Closed,Halo,Silver Hoop,https://lh3.googleusercontent.com/IwUCvuIfGcIdw4fl5Wso9OH0aTmtMAykV6ASLkmJoPkIRhyzMn1kbdnf9gtSMB-WBJcuVXAb-RZiC48XV560bQsPOta8GnX9MBXHZQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:32:58.176146
2950,BoredApeYachtClub,159.69,129.3905,overpriced,Jovial,Gray,Brown,,Bored,Faux Hawk,,https://lh3.googleusercontent.com/5CJ8mfbR-s3t-isG5emRnPS0UIR5YS1cvlN3XtuTGp7Cv-M_2p3MRM0H73_9FzfQzAT9pba6UTbKSkBFy8KlfWQPF58QnskhAqam_A,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2022-01-15 01:33:49.215351
